35;-OS(O2)-;sulfonate;0;-0.505;-0.188;-0.19;0
36;S;other;0.465;0.643;0;0;0.554
37;P;any;0.295;0.703;1.183;1.189;2.051
38;-F;connected to aliphatic;-0.18;-0.042;-0.036;-0.033;-0.143
39;-F;connected to aromatic;-0.23;0;0;0;-0.147
40;Cl;any;0.023;0.082;0;0;0.669
41;Br;any;0.196;0.161;-0.011;0;1.097
42;I;any;0.533;0.198;0;0;1.59
43;-OC(O)-;noncyclic ester;-0.113;-0.225;-0.206;-0.223;-0.39
44;-OC(O)-;lactone;0;0.36;-0.214;-0.169;0.406
45;O=P(OR);phosphate;-0.1;-0.24;-0.394;-0.408;-0.483
46;-OC(O)O-;carbonate;0;-0.19;-0.267;-0.298;0
47;-C(O)OH;carboxylic acid;-0.192;-0.412;-0.308;-0.312;-0.369
48;-NC(O)-;aromatic amide;0.221;-0.076;-0.095;-0.038;0
49;-NC(O)-;noncyclic aliphatic amide;0;0.175;-0.287;-0.292;0.603
50;-NC(O)-;lactam;0.061;-0.1;-0.231;-0.242;0.583
51;-S(O)(O)N-;sulfonamide;-0.111;-0.569;-0.446;-0.443;0
52;-NC(O)N-;urea;-0.11;-0.553;-0.076;-0.054;0
53;-C(O)O-;carbamate;0;-0.588;-0.252;-0.251;0
54;-C(O)NC(O)-;imide;0;-0.51;-0.148;-0.149;0
55;-C(O)C=CC(O)-;quinone;0;-0.411;-0.051;-0.05;0
56;-CX2-;CX2, a;-0.017;-0.05;-0.014;-0.016;-0.111
57;>CXCX<;XCCX,a;0.012;0;0.013;0.01;0.054
58;steroid;fused ring system;0.285;1.029;0.267;0.218;0.488
59;H-bond 1;b;0.029;-0.067;0;0;-0.072
60;H-bond 2;b;0;-0.095;-0.068;-0.09;-0.337
61;H-bond 3;b;-0.069;-0.237;-0.079;-0.122;0
62;H-bond 4;b;0;-0.344;-0.387;-0.403;-0.303
63;H-bond 5;b;0;-0.276;-0.126;-0.12;-0.364
64;H-bond 6;b;0;-0.102;0;0;0.062
65;H-bond 7;b;0;0;-0.059;-0.027;0
66;H-bond 8;b;0;-0.14;-0.045;-0.069;0.169
67;H-bond 9;b;-0.1;-0.12;-0.13;-0.13;-0.4
68;>C(OH)C(OH)<;1,2-diol;-0.043;0.052;0;-0.018;0.1
69;n:n;1,2 aromatic interactionc;0.092;0.024;-0.132;-0.094;-0.179
70;x:x;1,2 aromatic interactiond;-0.113;0.047;-0.157;-0.141;0
71;n:c:n;1,3 aromatic interactione;0;-0.04;-0.098;-0.113;0.042
72;x:c:x;1,3 aromatic interactionf;0.052;0.087;-0.17;-0.184;0.209
73;x:c:c:x;1,4 aromatic interactiong;0;-0.051;-0.089;-0.073;-0.058
74;Y-c:c-Y;ortho interactionh;0;-0.043;0.031;0.025;-0.081
75;Y-c:c:c-Y;meta interaction;0;-0.038;-0.035;-0.033;-0.026
76;Y-c:c:c:c-Y;para interaction;0;0;-0.023;-0.025;0
77;O=PN;phosphamide;-0.08;-0.452;-0.668;-0.668;0
78;N-c:n;2-aminopyridine;0.185;0.098;-0.042;-0.057;0.149
79;OH-C-c;benzyl alcohol;0;0;0.131;0.129;-0.145
80;O=N;N-oxide;0;0.434;-0.408;-0.405;0
81;-O-c:c-O-;1,2-dimethoxy;0;0.38;-0.216;-0.218;0
intercept;intercept;intercept;0.248;0.277;0.071;0.064;0.13
